product_id,product_name,category,unit_sale_price_ks,unit_cost_ks
P001,Jasmine Rice 5kg,Rice & Grains,14500.0,10150.0
P002,Sunflower Oil 1L,Cooking Oil,7800.0,5460.0
P003,Instant Coffee 20 Sachets,Beverages,6500.0,4550.0
P004,Shampoo 650ml,Personal Care,11900.0,8330.0
P005,Toothpaste 180g,Personal Care,3200.0,2240.0
P006,Fresh Milk 1L,Dairy,3900.0,2730.0
P007,Chicken Eggs 10pcs,Eggs,5200.0,3639.9999999999995
P008,Banana 1kg,Fruits,2800.0,1959.9999999999998
P009,Laundry Detergent 2kg,Household,9200.0,6440.0
P010,Drinking Water 1L Pack,Beverages,1200.0,840.0
P011,Butter 200g,Dairy,5600.0,3919.9999999999995
P012,Green Tea 500ml,Beverages,1500.0,1050.0
P013,Soap Bar 4pcs,Personal Care,4800.0,3360.0
P014,Face Tissue 3ply,Household,2500.0,1750.0
P015,Chicken Breast 1kg,Meat & Seafood,16800.0,11760.0
P016,Frozen Prawns 500g,Meat & Seafood,18500.0,12950.0
P017,Sugar 1kg,Rice & Grains,2900.0,2029.9999999999998
P018,Potato Chips 150g,Snacks,2200.0,1540.0
P019,Orange Juice 1L,Beverages,4400.0,3080.0
P020,Yogurt Cup 4pcs,Dairy,3600.0,2520.0
P021,Apple 1kg,Fruits,6200.0,4340.0
P022,Carrot 1kg,Vegetables,3100.0,2170.0
P023,Noodles 5 Pack,Rice & Grains,4200.0,2940.0
P024,Body Lotion 400ml,Personal Care,9800.0,6860.0
P025,Fish Sauce 700ml,Condiments,3500.0,2450.0
P026,Biscuits Family Pack,Snacks,5900.0,4130.0
P027,Dishwashing Liquid 750ml,Household,4300.0,3010.0
