product_key,product_id,product_name,category
1,P001,Jasmine Rice 5kg,Rice & Grains
2,P002,Sunflower Oil 1L,Cooking Oil
3,P003,Instant Coffee 20 Sachets,Beverages
4,P004,Shampoo 650ml,Personal Care
5,P005,Toothpaste 180g,Personal Care
6,P006,Fresh Milk 1L,Dairy
7,P007,Chicken Eggs 10pcs,Eggs
8,P008,Banana 1kg,Fruits
9,P009,Laundry Detergent 2kg,Household
10,P010,Drinking Water 1L Pack,Beverages
11,P011,Butter 200g,Dairy
12,P012,Green Tea 500ml,Beverages
13,P013,Soap Bar 4pcs,Personal Care
14,P014,Face Tissue 3ply,Household
15,P015,Chicken Breast 1kg,Meat & Seafood
16,P016,Frozen Prawns 500g,Meat & Seafood
17,P017,Sugar 1kg,Rice & Grains
18,P018,Potato Chips 150g,Snacks
19,P019,Orange Juice 1L,Beverages
20,P020,Yogurt Cup 4pcs,Dairy
21,P021,Apple 1kg,Fruits
22,P022,Carrot 1kg,Vegetables
23,P023,Noodles 5 Pack,Rice & Grains
24,P024,Body Lotion 400ml,Personal Care
25,P025,Fish Sauce 700ml,Condiments
26,P026,Biscuits Family Pack,Snacks
27,P027,Dishwashing Liquid 750ml,Household
