sale_id,sale_date,store_id,product_id,units_sold,unit_sale_price_ks,unit_cost_ks,payment_method,revenue_ks,profit_ks
10001-P001,2026-04-28,S001,P001,2,14500.0,10150.0,Cash,29000.0,8700.0
10001-P002,2026-04-28,S001,P002,1,7800.0,5460.0,Cash,7800.0,2340.0
10002-P003,2026-04-28,S002,P003,3,6500.0,4550.0,Card,19500.0,5850.0
10003-P004,2026-04-28,S003,P004,1,11900.0,8330.0,Mobile Wallet,11900.0,3570.0
10003-P005,2026-04-28,S003,P005,2,3200.0,2240.0,Mobile Wallet,6400.0,1920.0
10004-P006,2026-04-28,S004,P006,4,3900.0,2730.0,Cash,15600.0,4680.0
10005-P007,2026-04-29,S001,P007,2,5200.0,3639.9999999999995,Card,10400.0,3120.000000000001
10005-P008,2026-04-29,S001,P008,1,2800.0,1959.9999999999998,Card,2800.0,840.0000000000002
10006-P001,2026-04-29,S002,P001,1,14500.0,10150.0,Mobile Wallet,14500.0,4350.0
10006-P009,2026-04-29,S002,P009,2,9200.0,6440.0,Mobile Wallet,18400.0,5520.0
10007-P010,2026-04-29,S003,P010,5,1200.0,840.0,Cash,6000.0,1800.0
10008-P006,2026-04-29,S004,P006,2,3900.0,2730.0,Cash,7800.0,2340.0
10008-P011,2026-04-29,S004,P011,1,5600.0,3919.9999999999995,Cash,5600.0,1680.0000000000005
10009-P012,2026-04-29,S005,P012,6,1500.0,1050.0,Card,9000.0,2700.0
10010-P013,2026-04-30,S001,P013,2,4800.0,3360.0,Cash,9600.0,2880.0
10010-P014,2026-04-30,S001,P014,3,2500.0,1750.0,Cash,7500.0,2250.0
10011-P015,2026-04-30,S002,P015,1,16800.0,11760.0,Card,16800.0,5040.0
10011-P016,2026-04-30,S002,P016,1,18500.0,12950.0,Card,18500.0,5550.0
10012-P003,2026-04-30,S003,P003,2,6500.0,4550.0,Mobile Wallet,13000.0,3900.0
10012-P017,2026-04-30,S003,P017,2,2900.0,2029.9999999999998,Mobile Wallet,5800.0,1740.0000000000005
10013-P018,2026-04-30,S005,P018,4,2200.0,1540.0,Cash,8800.0,2640.0
10014-P019,2026-04-30,S006,P019,2,4400.0,3080.0,Card,8800.0,2640.0
10014-P020,2026-04-30,S006,P020,2,3600.0,2520.0,Card,7200.0,2160.0
10015-P021,2026-05-01,S001,P021,2,6200.0,4340.0,Mobile Wallet,12400.0,3720.0
10015-P022,2026-05-01,S001,P022,1,3100.0,2170.0,Mobile Wallet,3100.0,930.0
10016-P002,2026-05-01,S002,P002,2,7800.0,5460.0,Cash,15600.0,4680.0
10016-P023,2026-05-01,S002,P023,3,4200.0,2940.0,Cash,12600.0,3780.0
10017-P005,2026-05-01,S003,P005,3,3200.0,2240.0,Card,9600.0,2880.0
10017-P024,2026-05-01,S003,P024,1,9800.0,6860.0,Card,9800.0,2940.0
10018-P025,2026-05-01,S004,P025,2,3500.0,2450.0,Cash,7000.0,2100.0
10019-P010,2026-05-01,S006,P010,4,1200.0,840.0,Mobile Wallet,4800.0,1440.0
10019-P026,2026-05-01,S006,P026,2,5900.0,4130.0,Mobile Wallet,11800.0,3540.0
10020-P027,2026-05-01,S005,P027,2,4300.0,3010.0,Card,8600.0,2580.0
