sale_id,date_key,product_key,store_key,units_sold,unit_sale_price_ks,unit_cost_ks,revenue_ks,profit_ks,payment_method
10001-P001,20260428,1,1,2,14500.0,10150.0,29000.0,8700.0,Cash
10001-P002,20260428,2,1,1,7800.0,5460.0,7800.0,2340.0,Cash
10002-P003,20260428,3,2,3,6500.0,4550.0,19500.0,5850.0,Card
10003-P004,20260428,4,3,1,11900.0,8330.0,11900.0,3570.0,Mobile Wallet
10003-P005,20260428,5,3,2,3200.0,2240.0,6400.0,1920.0,Mobile Wallet
10004-P006,20260428,6,4,4,3900.0,2730.0,15600.0,4680.0,Cash
10005-P007,20260429,7,1,2,5200.0,3639.9999999999995,10400.0,3120.000000000001,Card
10005-P008,20260429,8,1,1,2800.0,1959.9999999999998,2800.0,840.0000000000002,Card
10006-P001,20260429,1,2,1,14500.0,10150.0,14500.0,4350.0,Mobile Wallet
10006-P009,20260429,9,2,2,9200.0,6440.0,18400.0,5520.0,Mobile Wallet
10007-P010,20260429,10,3,5,1200.0,840.0,6000.0,1800.0,Cash
10008-P006,20260429,6,4,2,3900.0,2730.0,7800.0,2340.0,Cash
10008-P011,20260429,11,4,1,5600.0,3919.9999999999995,5600.0,1680.0000000000005,Cash
10009-P012,20260429,12,5,6,1500.0,1050.0,9000.0,2700.0,Card
10010-P013,20260430,13,1,2,4800.0,3360.0,9600.0,2880.0,Cash
10010-P014,20260430,14,1,3,2500.0,1750.0,7500.0,2250.0,Cash
10011-P015,20260430,15,2,1,16800.0,11760.0,16800.0,5040.0,Card
10011-P016,20260430,16,2,1,18500.0,12950.0,18500.0,5550.0,Card
10012-P003,20260430,3,3,2,6500.0,4550.0,13000.0,3900.0,Mobile Wallet
10012-P017,20260430,17,3,2,2900.0,2029.9999999999998,5800.0,1740.0000000000005,Mobile Wallet
10013-P018,20260430,18,5,4,2200.0,1540.0,8800.0,2640.0,Cash
10014-P019,20260430,19,6,2,4400.0,3080.0,8800.0,2640.0,Card
10014-P020,20260430,20,6,2,3600.0,2520.0,7200.0,2160.0,Card
10015-P021,20260501,21,1,2,6200.0,4340.0,12400.0,3720.0,Mobile Wallet
10015-P022,20260501,22,1,1,3100.0,2170.0,3100.0,930.0,Mobile Wallet
10016-P002,20260501,2,2,2,7800.0,5460.0,15600.0,4680.0,Cash
10016-P023,20260501,23,2,3,4200.0,2940.0,12600.0,3780.0,Cash
10017-P005,20260501,5,3,3,3200.0,2240.0,9600.0,2880.0,Card
10017-P024,20260501,24,3,1,9800.0,6860.0,9800.0,2940.0,Card
10018-P025,20260501,25,4,2,3500.0,2450.0,7000.0,2100.0,Cash
10019-P010,20260501,10,6,4,1200.0,840.0,4800.0,1440.0,Mobile Wallet
10019-P026,20260501,26,6,2,5900.0,4130.0,11800.0,3540.0,Mobile Wallet
10020-P027,20260501,27,5,2,4300.0,3010.0,8600.0,2580.0,Card
